FECHA,TOTAL MX
2020-01-01,2248.28
2020-01-01,568.4
2020-01-01,226.2
2020-01-01,0.0
2020-01-01,0.0
2020-01-01,0.01
2020-01-01,0.0
2020-01-01,5071.200000000001
2020-01-01,185.0
2020-01-01,556.8
2020-01-01,2900.0
2020-01-01,102.59
2020-01-01,6199.92
2020-01-01,5976.52
2020-01-01,0.0
2020-01-01,0.0
2020-01-01,0.0
2020-01-01,798.99
2020-01-01,899.0
2020-01-01,798.99
2020-01-01,798.99
2020-01-01,3146.0
2020-01-01,296.96
2020-01-01,327.12
2020-01-01,580.0
2020-01-01,0.0
2020-01-01,0.0
2020-01-01,4872.0
2020-01-01,0.0
2020-01-01,0.0
2020-01-01,0.01
2020-01-01,105.0
2020-01-01,406.0
2020-01-01,206.22
2020-01-01,59.97
2020-01-01,4461.6
2020-01-01,696.0
2020-01-01,599.26
2020-01-01,173.1
2020-01-01,236.57
2020-01-01,1624.0
2020-01-01,3509.87
2020-01-01,417.6
2020-01-01,1321.3799999999999
2020-01-01,1300.39
2020-01-01,2320.0
2020-01-01,1956.92
2020-01-01,0.0
2020-01-01,234.54999999999998
2020-01-01,99.0
2020-01-01,112.33
2020-01-01,0.0
2020-01-01,0.0
2020-01-01,4972.58
2020-01-01,2379.1099999999997
2020-01-01,2176.16
2020-01-01,2176.16
2020-01-01,1044.0
2020-01-01,0.0
2020-01-01,105.0
2020-01-01,407.15999999999997
2020-01-01,972.02
2020-01-01,363.38
2020-01-01,3219.0
2020-01-01,991.8
2020-01-01,378.45
2020-01-01,2267.8
2020-01-01,833.13
2020-01-01,0.0
2020-01-01,0.0
2020-01-01,1086.8
2020-01-01,0.0
2020-01-01,2927.84
2020-01-01,99.5
2020-01-01,0.0
2020-01-01,3224.2200000000003
2020-01-01,0.0
2020-01-01,0.0
2020-01-01,0.0
2020-01-01,0.0
2020-01-01,123.02
2020-01-01,4176.0
2020-01-01,4640.0
2020-01-01,1218.0
2020-01-01,178.18
2020-01-01,0.0
2020-01-01,107.31
2020-01-01,351.48
2020-01-01,0.0
2020-01-01,0.0
2020-01-01,0.0
2020-01-01,0.0
2020-01-01,3446.33
2020-01-01,0.0
2020-01-01,97.26
2020-01-01,522.0
2020-01-01,309.02
2020-01-01,2984.1
2020-01-01,943.4399999999999
2020-01-01,84.79
2020-01-01,0.0
2020-01-01,574.2
2020-01-01,-696.0
2020-01-01,0.0
2020-01-01,1390.0
2020-01-01,2668.0
2020-01-01,264.75
2020-01-01,0.0
2020-01-01,0.0
2020-01-01,0.0
2020-01-01,336.12
2020-01-01,2046.24
2020-01-01,6182.01
2020-01-01,398.99
2020-01-01,319.29
2020-01-01,140.0
2020-01-01,0.0
2020-01-01,0.0
2020-01-01,0.0
2020-01-01,1396.8400000000001
