FECHA,IMPORTE
2020-01-01,1676.25
2020-01-01,698.5
2020-01-01,0.0
2020-01-01,883.2
2020-01-01,243.4
2020-01-01,1010.0
2020-01-01,440.88
2020-01-01,1100.0
2020-01-01,5970.12
2020-01-01,0.0
2020-01-01,862.07
2020-01-01,0.0
2020-01-01,105.0
2020-01-01,0.0
2020-01-01,5000.0
2020-01-01,2095.13
2020-01-01,153.68
2020-01-01,28.4
2020-01-01,0.0
2020-01-01,0.0
2020-01-01,1070.0
2020-01-01,0.0
2020-01-01,0.0
2020-01-01,0.0
2020-01-01,519.11
2020-01-01,0.0
2020-01-01,37.87
2020-01-01,2457.0
2020-01-01,865.21
2020-01-01,207.0
2020-01-01,112.5
2020-01-01,0.0
2020-01-01,0.0
2020-01-01,0.01
2020-01-01,105.0
2020-02-01,490.0
2020-02-01,195.0
2020-02-01,1011.41
2020-02-01,-1343.72
2020-02-01,-214.99
2020-02-01,5344.76
2020-02-01,5152.17
2020-02-01,3670.47
2020-02-01,2932.5
2020-02-01,131.89
2020-02-01,4226.15
2020-02-01,0.0
2020-02-01,0.0
2020-02-01,0.0
2020-02-01,0.0
2020-02-01,0.0
2020-02-01,0.0
2020-02-01,3401.94
2020-02-01,744.89
2020-02-01,2569.85
2020-02-01,682.81
2020-02-01,4200.0
2020-02-01,2060.15
2020-02-01,6985.0
2020-02-01,585.0
2020-02-01,1250.0
2020-02-01,410.0
2020-02-01,0.0
2020-02-01,6459.0
2020-02-01,1904.0
2020-02-01,0.0
2020-02-01,0.01
2020-02-01,410.0
2020-02-01,1050.0
2020-02-01,3407.34
2020-02-01,457.0
2020-02-01,69.85
2020-02-01,99.63
2020-02-01,681.03
2020-02-01,672.41
2020-02-01,1608.8
2020-02-01,140.0
2020-02-01,1794.0
2020-02-01,1200.0
2020-02-01,0.0
2020-02-01,0.0
2020-02-01,6069.14
2020-02-01,1591.32
2020-02-01,-2779.5
2020-02-01,4740.0
2020-02-01,150.0
2020-02-01,4805.76
2020-02-01,153.84
2020-02-01,194.0
2020-02-01,86.51
2020-02-01,0.0
2020-02-01,18.97
2020-02-01,18.97
2020-02-01,464.0
2020-02-01,230.0
2020-02-01,2725.75
2020-02-01,1139.12
2020-02-01,418.3
2020-02-01,1070.0
2020-02-01,464.0
2020-02-01,925.0
2020-02-01,1295.4
2020-02-01,3800.0
2020-02-01,2753.6
2020-02-01,86.52
2020-02-01,761.86
2020-02-01,3036.4
2020-02-01,1200.0
2020-02-01,2058.0
2020-02-01,124.07
2020-02-01,70.0
2020-02-01,2016.23
2020-02-01,752.43
2020-02-01,674.62
2020-02-01,674.62
2020-02-01,674.62
2020-02-01,360.0
2020-02-01,270.0
2020-02-01,1955.0
2020-02-01,991.02
2020-02-01,1900.0
2020-02-01,-58.97
2020-02-01,-991.02
2020-02-01,1034.4
2020-02-01,405.0
2020-02-01,0.0
2020-02-01,560.35
2020-02-01,0.0
2020-02-01,145.0
2020-02-01,149.35
2020-02-01,108.0
2020-02-01,129.76
2020-02-01,0.0
2020-02-01,629.32
2020-02-01,793.12
2020-02-01,450.0
2020-02-01,90.0
2020-02-01,1707.81
2020-02-01,130.0
2020-02-01,0.0
2020-02-01,2331.8
2020-02-01,4000.0
2020-02-01,114.0
2020-02-01,2440.0
2020-02-01,0.0
2020-02-01,0.0
2020-02-01,0.0
2020-02-01,2438.0
2020-02-01,0.0
2020-02-01,0.01
2020-02-01,70.0
2020-02-01,0.0
2020-02-01,66.67
2020-02-01,113.76
2020-02-01,432.53
2020-02-01,1876.55
2020-02-01,4073.25
2020-02-01,250.0
2020-02-01,38.28
2020-02-01,379.24
2020-02-01,4740.0
2020-02-01,51.36
2020-02-01,4000.0
2020-02-01,1113.33
2020-02-01,705.14
2020-02-01,316.32
2020-02-01,198.0
2020-02-01,684.75
2020-02-01,445.0
2020-02-01,753.62
2020-02-01,1551.51
2020-02-01,2940.0
2020-02-01,0.0
2020-02-01,-450.0
2020-02-01,181.03
2020-02-01,47.41
2020-02-01,3182.5
2020-02-01,230.16
2020-02-01,86.52
2020-02-01,19.38
2020-02-01,65.47
2020-02-01,3914.4
2020-02-01,18.97
2020-02-01,3675.0
2020-02-01,70.0
2020-02-01,0.0
2020-02-01,0.0
2020-02-01,262.32
2020-02-01,336.9
2020-02-01,0.0
2020-02-01,86.52
2020-02-01,0.0
2020-02-01,74.77
2020-02-01,807.0
2020-02-01,2750.0
2020-02-01,3186.0
2020-02-01,772.0
2020-02-01,3222.08
2020-02-01,5747.71
2020-02-01,5970.12
2020-02-01,5755.22
2020-02-01,1669.0
2020-02-01,0.0
2020-02-01,4214.0
2020-02-01,543.2
2020-02-01,5700.0
2020-02-01,0.0
2020-02-01,0.0
2020-02-01,0.0
2020-02-01,0.0
2020-02-01,0.0
2020-02-01,3969.0
2020-02-01,6815.0
2020-02-01,88.05
2020-02-01,545.0
2020-02-01,22.09
2020-02-01,1900.0
2020-02-01,299.39
2020-02-01,3152.0
2020-02-01,1576.0
2020-02-01,1400.0
2020-02-01,1215.0
2020-02-01,527.62
2020-02-01,796.0
2020-02-01,0.0
2020-02-01,681.0
2020-02-01,6606.78
2020-02-01,2000.0
2020-02-01,0.0
2020-02-01,6459.99
2020-02-01,337.5
2020-02-01,3066.51
2020-02-01,153.26
2020-02-01,0.0
2020-02-01,0.0
2020-02-01,794.55
2020-02-01,6598.3
2020-02-01,0.0
2020-02-01,1191.99
2020-02-01,102.25
2020-02-01,4502.7
2020-02-01,1827.45
2020-02-01,150.0
2020-02-01,138.0
2020-02-01,3010.5
2020-02-01,1011.0
2020-02-01,0.0
2020-02-01,673.6
2020-02-01,310.0
2020-02-01,2400.0
2020-02-01,1300.0
2020-02-01,500.0
2020-02-01,0.0
2020-02-01,1124.74
2020-02-01,463.7884482758621
2020-02-01,1568.0
2020-02-01,310.16
2020-02-01,992.94
2020-02-01,874.3
2020-02-01,0.0
2020-02-01,2150.0
2020-02-01,0.0
2020-02-01,0.0
2020-02-01,0.0
2020-02-01,336.9
2020-02-01,0.0
2020-02-01,709.43
2020-02-01,1188.0
2020-02-01,0.0
2020-02-01,232.57
2020-02-01,0.0
2020-02-01,100.23
2020-02-01,0.0
2020-02-01,446.5
2020-02-01,0.0
2020-02-01,360.0
2020-02-01,977.32
2020-02-01,0.0
2020-02-01,535.73
2020-02-01,3189.0
2020-02-01,0.0
2020-02-01,0.0
2020-02-01,0.0
2020-02-01,256.0
2020-02-01,125.0
2020-02-01,0.0
2020-02-01,0.0
2020-02-01,70.0
2020-02-01,0.0
2020-02-01,300.0
2020-02-01,86.52
2020-02-01,580.0
2020-02-01,313.1
2020-02-01,432.53
2020-02-01,3060.0
2020-02-01,620.0
2020-02-01,1758.0
2020-02-01,1929.0
2020-02-01,2521.6
2020-02-01,85.34
2020-02-01,284.8
2020-02-01,0.0
2020-02-01,0.0
2020-02-01,3200.0
2020-02-01,4129.65
2020-02-01,0.0
2020-02-01,1767.52
2020-02-01,1932.69
2020-02-01,237.07
2020-02-01,1160.9
2020-02-01,770.0
2020-02-01,104.8
2020-02-01,6598.25
2020-02-01,86.21
2020-02-01,483.0
2020-02-01,0.0
2020-02-01,1702.39
2020-02-01,714.94
2020-02-01,303.73
2020-02-01,645.0
2020-02-01,0.0
2020-02-01,140.0
2020-02-01,81.9
2020-02-01,5039.65
2020-02-01,715.58
2020-02-01,2682.75
2020-02-01,207.0
2020-02-01,895.06
2020-02-01,490.0
2020-02-01,210.0
2020-02-01,0.0
2020-02-01,105.0
2020-02-01,0.0
2020-02-01,0.01
2020-03-01,1810.4
2020-03-01,0.0
2020-03-01,0.0
2020-03-01,730.68
2020-03-01,0.0
2020-03-01,500.0
2020-03-01,0.0
2020-03-01,2865.0
2020-03-01,2044.0
2020-03-01,492.56
2020-03-01,583.38
2020-03-01,0.0
2020-03-01,1827.45
2020-03-01,4200.0
2020-03-01,0.0
2020-03-01,420.0
2020-03-01,530.4
2020-03-01,1090.0
2020-03-01,3944.5
2020-03-01,180.0
2020-03-01,242.24
2020-03-01,1390.0
2020-03-01,29.0
2020-03-01,2574.0
2020-03-01,0.01
2020-03-01,310.34
2020-03-01,1400.0
2020-03-01,261.5
2020-03-01,6985.0
2020-03-01,2715.5
2020-03-01,133.62
2020-03-01,496.1
2020-03-01,0.0
2020-03-01,5344.76
2020-03-01,5152.17
2020-03-01,6286.14
2020-03-01,124.14
2020-03-01,126.72
2020-03-01,0.0
2020-03-01,752.78
2020-03-01,102.48
2020-03-01,1286.26
2020-03-01,7000.0
2020-03-01,607.0
2020-03-01,0.0
2020-03-01,860.0
2020-03-01,1707.81
2020-03-01,120.47
2020-03-01,1063.5
2020-03-01,4860.0
2020-03-01,58.1
2020-03-01,1439.2
2020-03-01,320.0
2020-03-01,0.0
2020-03-01,0.0
2020-03-01,511.03
2020-03-01,0.0
2020-03-01,267.29
2020-03-01,0.0
2020-03-01,2202.0
2020-03-01,752.43
2020-03-01,674.62
2020-03-01,674.62
2020-03-01,674.62
2020-03-01,1865.12
2020-03-01,2585.0
2020-03-01,0.0
2020-03-01,0.0
2020-03-01,125.5
2020-03-01,3170.0
2020-03-01,3052.0
2020-03-01,629.37
2020-03-01,1533.0
2020-03-01,0.0
2020-03-01,390.0
2020-03-01,69.92
2020-03-01,908.33
2020-03-01,1139.12
2020-03-01,175.0
2020-03-01,1073.8
2020-03-01,198.0
2020-03-01,0.0
2020-03-01,3597.93
2020-03-01,0.01
2020-03-01,1560.0
2020-03-01,4000.0
2020-03-01,1774.96
2020-03-01,108.11
2020-03-01,400.86
2020-03-01,771.49
2020-03-01,1215.0
2020-03-01,2448.0
2020-03-01,5286.0
2020-03-01,0.0
2020-03-01,153.44
2020-03-01,323.85
2020-03-01,4228.0
2020-03-01,2725.6
2020-03-01,6815.0
2020-03-01,268.62
2020-03-01,501.74
2020-03-01,3681.0
2020-03-01,2352.0
2020-03-01,0.0
2020-03-01,0.0
2020-03-01,0.0
2020-03-01,0.0
2020-03-01,2000.0
2020-03-01,6598.21
2020-03-01,0.0
2020-03-01,276.5
2020-03-01,0.0
2020-03-01,0.0
2020-03-01,0.0
2020-03-01,177.35
2020-03-01,737.0
2020-03-01,0.0
2020-03-01,364.8
2020-03-01,847.7
2020-03-01,2720.5
2020-03-01,4356.0
2020-03-01,2247.0
2020-03-01,1304.0
2020-03-01,975.0
2020-03-01,4900.0
2020-03-01,5110.85
2020-03-01,0.0
2020-03-01,173.04
2020-03-01,37.0
2020-03-01,818.16
2020-03-01,605.84
2020-03-01,0.0
2020-03-01,0.0
2020-03-01,0.0
2020-03-01,479.91
2020-03-01,95.12
2020-03-01,2480.0
2020-03-01,4223.5
2020-03-01,2537.5
2020-03-01,0.0
2020-03-01,0.0
2020-03-01,89.75
2020-03-01,560.0
2020-03-01,2436.6
2020-03-01,258.91
2020-03-01,336.9
2020-03-01,6300.0
2020-03-01,175.0
2020-03-01,0.0
2020-03-01,0.0
2020-03-01,0.0
2020-03-01,900.0
2020-03-01,0.0
2020-03-01,0.0
2020-03-01,3052.0
2020-03-01,1400.0
2020-03-01,221.0
2020-03-01,2544.0
2020-03-01,1800.0
2020-03-01,341.0
2020-03-01,2190.25
2020-03-01,0.0
2020-03-01,1467.0
2020-03-01,2333.0
2020-03-01,350.0
2020-03-01,1304.0
2020-03-01,650.0
2020-03-01,1000.0
2020-03-01,0.0
2020-03-01,293.34
2020-03-01,18.97
2020-03-01,2160.0
2020-03-01,6598.22
2020-03-01,0.0
2020-03-01,6971.67
2020-03-01,1551.6
2020-03-01,3075.75
2020-03-01,243.1
2020-03-01,95.12
2020-03-01,6780.0
2020-03-01,5265.2
2020-03-01,1144.0
2020-03-01,162.0
2020-03-01,1295.4
2020-03-01,2400.0
2020-03-01,245.0
2020-03-01,336.9
2020-03-01,0.0
2020-03-01,0.0
2020-03-01,0.0
2020-03-01,0.0
2020-03-01,4233.0
2020-03-01,4482.0
2020-03-01,0.0
2020-03-01,2175.36
2020-03-01,1196.46
2020-03-01,406.73
2020-03-01,16.0
2020-03-01,16.0
2020-03-01,0.0
2020-03-01,1318.54
2020-03-01,1750.0
